# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       4     0.20419     0.07721     0.14272  -19.020167865  -26.323134267   -7.302966402
     1       4     0.19984     0.07556     0.13968  -19.020076085  -26.322165070   -7.302088985
     1       4     0.19550     0.07392     0.13665  -19.019856748  -26.320768506   -7.300911758
     1       4     0.19116     0.07228     0.13361  -19.019778385  -26.319469472   -7.299691087
     1       4     0.18681     0.07064     0.13057  -19.019832904  -26.318468745   -7.298635842
     1       4     0.18247     0.06899     0.12754  -19.019261731  -26.317118907   -7.297857176
     1       4     0.17812     0.06735     0.12450  -19.019096055  -26.316497951   -7.297401895
     1       4     0.17378     0.06571     0.12146  -19.018968518  -26.316248387   -7.297279869
     1       4     0.16943     0.06407     0.11843  -19.018652446  -26.316136469   -7.297484023
     1       4     0.16509     0.06242     0.11539  -19.018351927  -26.316289752   -7.297937825
     1       4     0.16074     0.06078     0.11235  -19.017955914  -26.316458845   -7.298502931
     1       4     0.15640     0.05914     0.10932  -19.017611303  -26.316585355   -7.298974053
     1       4     0.15206     0.05749     0.10628  -19.017190118  -26.316443253   -7.299253135
     1       4     0.14771     0.05585     0.10324  -19.016862636  -26.316244646   -7.299382010
     1       4     0.14337     0.05421     0.10021  -19.016587072  -26.315987500   -7.299400428
     1       4     0.13902     0.05257     0.09717  -19.016128375  -26.315437349   -7.299308975
     1       4     0.13468     0.05092     0.09413  -19.015549913  -26.314616046   -7.299066133
     1       4     0.13033     0.04928     0.09110  -19.015004506  -26.313452949   -7.298448443
     1       4     0.12599     0.04764     0.08806  -19.014431553  -26.311794095   -7.297362542
     1       4     0.12164     0.04600     0.08502  -19.013855560  -26.309849580   -7.295994020
     1       4     0.11730     0.04435     0.08199  -19.013462970  -26.308077915   -7.294614946
     1       4     0.11296     0.04271     0.07895  -19.012872452  -26.306280791   -7.293408339
     1       4     0.10861     0.04107     0.07591  -19.012148974  -26.304616677   -7.292467702
     1       4     0.10427     0.03942     0.07288  -19.011624792  -26.303474176   -7.291849385
     1       4     0.09992     0.03778     0.06984  -19.010988849  -26.302554754   -7.291565905
     1       4     0.09558     0.03614     0.06681  -19.010504171  -26.302107509   -7.291603338
